ICD-10-CM CODE,ICD-10-CM CODE DESCRIPTION,Default CCSR CATEGORY IP,Default CCSR CATEGORY DESCRIPTION IP,Default CCSR CATEGORY OP,Default CCSR CATEGORY DESCRIPTION OP,CCSR CATEGORY 1,CCSR CATEGORY 1 DESCRIPTION,CCSR CATEGORY 2,CCSR CATEGORY 2 DESCRIPTION,CCSR CATEGORY 3,CCSR CATEGORY 3 DESCRIPTION,CCSR CATEGORY 4,CCSR CATEGORY 4 DESCRIPTION,CCSR CATEGORY 5,CCSR CATEGORY 5 DESCRIPTION,CCSR CATEGORY 6,CCSR CATEGORY 6 DESCRIPTION
'E244',Alcohol-induced pseudo-Cushing's syndrome,'END015',Other specified and unspecified endocrine disorders,'END015',Other specified and unspecified endocrine disorders,'END015',Other specified and unspecified endocrine disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F1010',Alcohol abuse   uncomplicated,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F1011',Alcohol abuse   in remission,'MBD026',Mental and substance use disorders in remission,'MBD026',Mental and substance use disorders in remission,'MBD026',Mental and substance use disorders in remission,' ', ,' ', ,' ', ,' ', ,' ', 
'F10120',Alcohol abuse with intoxication   uncomplicated,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F10121',Alcohol abuse with intoxication delirium,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F10129',Alcohol abuse with intoxication   unspecified,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F10130',Alcohol abuse with withdrawal   uncomplicated,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F10131',Alcohol abuse with withdrawal delirium,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F10132',Alcohol abuse with withdrawal with perceptual disturbance,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F10139',Alcohol abuse with withdrawal   unspecified,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F1014',Alcohol abuse with alcohol-induced mood disorder,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F10150',Alcohol abuse with alcohol-induced psychotic disorder with delusions,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD001',Schizophrenia spectrum and other psychotic disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', 
'F10151',Alcohol abuse with alcohol-induced psychotic disorder with hallucinations,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD001',Schizophrenia spectrum and other psychotic disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', 
'F10159',Alcohol abuse with alcohol-induced psychotic disorder   unspecified,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD001',Schizophrenia spectrum and other psychotic disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', 
'F10180',Alcohol abuse with alcohol-induced anxiety disorder,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD005',Anxiety and fear-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', 
'F10181',Alcohol abuse with alcohol-induced sexual dysfunction,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F10182',Alcohol abuse with alcohol-induced sleep disorder,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F10188',Alcohol abuse with other alcohol-induced disorder,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F1019',Alcohol abuse with unspecified alcohol-induced disorder,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F1020',Alcohol dependence   uncomplicated,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F1021',Alcohol dependence   in remission,'MBD026',Mental and substance use disorders in remission,'MBD026',Mental and substance use disorders in remission,'MBD026',Mental and substance use disorders in remission,' ', ,' ', ,' ', ,' ', ,' ', 
'F10220',Alcohol dependence with intoxication   uncomplicated,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F10221',Alcohol dependence with intoxication delirium,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F10229',Alcohol dependence with intoxication   unspecified,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F10230',Alcohol dependence with withdrawal   uncomplicated,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F10231',Alcohol dependence with withdrawal delirium,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F10232',Alcohol dependence with withdrawal with perceptual disturbance,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F10239',Alcohol dependence with withdrawal   unspecified,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F1024',Alcohol dependence with alcohol-induced mood disorder,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F10250',Alcohol dependence with alcohol-induced psychotic disorder with delusions,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD001',Schizophrenia spectrum and other psychotic disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', 
'F10251',Alcohol dependence with alcohol-induced psychotic disorder with hallucinations,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD001',Schizophrenia spectrum and other psychotic disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', 
'F10259',Alcohol dependence with alcohol-induced psychotic disorder   unspecified,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD001',Schizophrenia spectrum and other psychotic disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', 
'F1026',Alcohol dependence with alcohol-induced persisting amnestic disorder,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F1027',Alcohol dependence with alcohol-induced persisting dementia,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F10280',Alcohol dependence with alcohol-induced anxiety disorder,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD005',Anxiety and fear-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', 
'F10281',Alcohol dependence with alcohol-induced sexual dysfunction,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F10282',Alcohol dependence with alcohol-induced sleep disorder,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F10288',Alcohol dependence with other alcohol-induced disorder,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F1029',Alcohol dependence with unspecified alcohol-induced disorder,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F10920',Alcohol use   unspecified with intoxication   uncomplicated,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F10921',Alcohol use   unspecified with intoxication delirium,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F10929',Alcohol use   unspecified with intoxication   unspecified,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'F10930',Alcohol use   unspecified with withdrawal   uncomplicated,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,'MBD017',Alcohol-related disorders,' ', ,' ', ,' ', ,' ', ,' ', 
