ICD-10-CM CODE,ICD-10-CM CODE DESCRIPTION,Default CCSR CATEGORY IP,Default CCSR CATEGORY DESCRIPTION IP,Default CCSR CATEGORY OP,Default CCSR CATEGORY DESCRIPTION OP,CCSR CATEGORY 1,CCSR CATEGORY 1 DESCRIPTION,CCSR CATEGORY 2,CCSR CATEGORY 2 DESCRIPTION,CCSR CATEGORY 3,CCSR CATEGORY 3 DESCRIPTION,CCSR CATEGORY 4,CCSR CATEGORY 4 DESCRIPTION,CCSR CATEGORY 5,CCSR CATEGORY 5 DESCRIPTION,CCSR CATEGORY 6,CCSR CATEGORY 6 DESCRIPTION
'F910',Conduct disorder confined to family context,'MBD008',Disruptive   impulse-control and conduct disorders,'MBD008',Disruptive   impulse-control and conduct disorders,'MBD008',Disruptive   impulse-control and conduct disorders,' ', ,' ', ,' ', ,' ', ,' ', 
'Y07499',Other family member   perpetrator of maltreatment and neglect,'XXX000',Unacceptable PDX,'XXX111',Unacceptable DX1,'EXT018',External cause codes: other specified   classifiable and NEC; initial encounter,'EXT022',External cause codes: intent of injury   assault,' ', ,' ', ,' ', ,' ', 
'Y0750',Unspecified non-family member   perpetrator of maltreatment and neglect,'XXX000',Unacceptable PDX,'XXX111',Unacceptable DX1,'EXT018',External cause codes: other specified   classifiable and NEC; initial encounter,'EXT022',External cause codes: intent of injury   assault,' ', ,' ', ,' ', ,' ', 
'Y0759',Other non-family member   perpetrator of maltreatment and neglect,'XXX000',Unacceptable PDX,'XXX111',Unacceptable DX1,'EXT018',External cause codes: other specified   classifiable and NEC; initial encounter,'EXT022',External cause codes: intent of injury   assault,' ', ,' ', ,' ', ,' ', 
'Y92010',Kitchen of single-family (private) house as the place of occurrence of the external cause,'XXX000',Unacceptable PDX,'XXX111',Unacceptable DX1,'EXT027',External cause codes: place of occurrence of the external cause,' ', ,' ', ,' ', ,' ', ,' ', 
'Y92011',Dining room of single-family (private) house as the place of occurrence of the external cause,'XXX000',Unacceptable PDX,'XXX111',Unacceptable DX1,'EXT027',External cause codes: place of occurrence of the external cause,' ', ,' ', ,' ', ,' ', ,' ', 
'Y92012',Bathroom of single-family (private) house as the place of occurrence of the external cause,'XXX000',Unacceptable PDX,'XXX111',Unacceptable DX1,'EXT027',External cause codes: place of occurrence of the external cause,' ', ,' ', ,' ', ,' ', ,' ', 
'Y92013',Bedroom of single-family (private) house as the place of occurrence of the external cause,'XXX000',Unacceptable PDX,'XXX111',Unacceptable DX1,'EXT027',External cause codes: place of occurrence of the external cause,' ', ,' ', ,' ', ,' ', ,' ', 
'Y92014',Private driveway to single-family (private) house as the place of occurrence of the external cause,'XXX000',Unacceptable PDX,'XXX111',Unacceptable DX1,'EXT027',External cause codes: place of occurrence of the external cause,' ', ,' ', ,' ', ,' ', ,' ', 
'Y92015',Private garage of single-family (private) house as the place of occurrence of the external cause,'XXX000',Unacceptable PDX,'XXX111',Unacceptable DX1,'EXT027',External cause codes: place of occurrence of the external cause,' ', ,' ', ,' ', ,' ', ,' ', 
'Y92016',Swimming-pool in single-family (private) house or garden as the place of occurrence of the external cause,'XXX000',Unacceptable PDX,'XXX111',Unacceptable DX1,'EXT027',External cause codes: place of occurrence of the external cause,' ', ,' ', ,' ', ,' ', ,' ', 
